_id,Crash_Year,Crash_PoliceRegion,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_Road_User_Type,Casualty_Restraint_Helmet_Use,Casualty_Count
1,2001,Brisbane,Fatality,0 to 16,Female,Vehicle Occupant,Restrained,1
2,2001,Brisbane,Fatality,17 to 24,Female,Vehicle Occupant,Restrained,1
3,2001,Brisbane,Fatality,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,1
4,2001,Brisbane,Fatality,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,1
5,2001,Brisbane,Fatality,30 to 39,Female,Vehicle Occupant,Unrestrained,1
6,2001,Brisbane,Fatality,40 to 49,Female,Vehicle Occupant,Restrained,1
7,2001,Brisbane,Fatality,50 to 59,Female,Vehicle Occupant,Restraint Use Not determined,1
8,2001,Brisbane,Fatality,60 to 74,Female,Vehicle Occupant,Restrained,2
9,2001,Brisbane,Fatality,75 and over,Female,Vehicle Occupant,Restrained,1
10,2001,Brisbane,Fatality,17 to 24,Male,Motorcyclist,Helmet Worn,2
11,2001,Brisbane,Fatality,17 to 24,Male,Vehicle Occupant,Restrained,4
12,2001,Brisbane,Fatality,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,5
13,2001,Brisbane,Fatality,25 to 29,Male,Bicyclist,Helmet Worn,1
14,2001,Brisbane,Fatality,25 to 29,Male,Motorcyclist,Helmet Worn,1
15,2001,Brisbane,Fatality,25 to 29,Male,Vehicle Occupant,Restrained,1
16,2001,Brisbane,Fatality,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,4
17,2001,Brisbane,Fatality,30 to 39,Male,Motorcyclist,Helmet Worn,1
18,2001,Brisbane,Fatality,30 to 39,Male,Vehicle Occupant,Restrained,2
19,2001,Brisbane,Fatality,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,1
20,2001,Brisbane,Fatality,30 to 39,Male,Vehicle Occupant,Unrestrained,1
21,2001,Brisbane,Fatality,40 to 49,Male,Bicyclist,Helmet Worn,1
22,2001,Brisbane,Fatality,40 to 49,Male,Motorcyclist,Helmet Worn,1
23,2001,Brisbane,Fatality,50 to 59,Male,Vehicle Occupant,Unrestrained,1
24,2001,Brisbane,Fatality,60 to 74,Male,Motorcyclist,Helmet Worn,1
25,2001,Brisbane,Fatality,60 to 74,Male,Vehicle Occupant,Restrained,1
26,2001,Brisbane,Hospitalised,0 to 16,Female,Bicyclist,Helmet Not Worn,1
27,2001,Brisbane,Hospitalised,0 to 16,Female,Bicyclist,Helmet Worn,1
28,2001,Brisbane,Hospitalised,0 to 16,Female,Vehicle Occupant,Restrained,16
29,2001,Brisbane,Hospitalised,0 to 16,Female,Vehicle Occupant,Restraint Use Not determined,1
30,2001,Brisbane,Hospitalised,17 to 24,Female,Motorcyclist,Helmet Worn,5
31,2001,Brisbane,Hospitalised,17 to 24,Female,Vehicle Occupant,Restrained,107
32,2001,Brisbane,Hospitalised,17 to 24,Female,Vehicle Occupant,Restraint Use Not determined,18
