_id,Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Male_Driver,Involving_Female_Driver,Involving_Young_Driver_16-24,Involving_Senior_Driver_60plus,Involving_Provisional_Driver,Involving_Overseas_Licensed_Driver,Involving_Unlicensed_Driver,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
1,2001,Brisbane,Fatal,No,No,No,No,No,No,No,1,1,0,0,0,1
2,2001,Brisbane,Fatal,No,Yes,No,No,No,No,No,4,4,1,0,0,5
3,2001,Brisbane,Fatal,No,Yes,No,Yes,No,No,No,2,2,0,0,0,2
4,2001,Brisbane,Fatal,No,Yes,No,Yes,No,No,Yes,1,1,0,0,0,1
5,2001,Brisbane,Fatal,No,Yes,No,Yes,Yes,No,No,1,1,1,0,0,2
6,2001,Brisbane,Fatal,No,Yes,Yes,No,No,No,No,1,1,1,0,0,2
7,2001,Brisbane,Fatal,No,Yes,Yes,No,Yes,No,No,2,2,0,1,0,3
8,2001,Brisbane,Fatal,Yes,No,No,No,No,No,No,8,9,0,0,0,9
9,2001,Brisbane,Fatal,Yes,No,No,No,No,No,Yes,5,5,3,0,0,8
10,2001,Brisbane,Fatal,Yes,No,No,No,Yes,No,No,2,3,0,0,0,3
11,2001,Brisbane,Fatal,Yes,No,No,Yes,No,No,No,2,2,0,0,0,2
12,2001,Brisbane,Fatal,Yes,No,Yes,No,No,No,No,2,2,0,2,0,4
13,2001,Brisbane,Fatal,Yes,No,Yes,No,No,No,Yes,2,2,5,0,0,7
14,2001,Brisbane,Fatal,Yes,No,Yes,No,Yes,No,No,6,6,3,0,0,9
15,2001,Brisbane,Fatal,Yes,Yes,No,No,No,No,Yes,1,1,2,0,0,3
16,2001,Brisbane,Fatal,Yes,Yes,No,Yes,No,No,No,1,1,0,0,0,1
17,2001,Brisbane,Fatal,Yes,Yes,Yes,No,No,No,No,1,1,0,1,2,4
18,2001,Brisbane,Fatal,Yes,Yes,Yes,No,Yes,No,No,1,1,2,0,0,3
19,2001,Brisbane,Fatal,Yes,Yes,Yes,Yes,Yes,No,No,1,1,1,0,0,2
