Crash_ID,Crash_Year,Crash_Severity,Count_Crashes,Count_Fatality,Count_Hospitalised,Count_Medically_Treated,Count_Minor_Injury,Involving_Drink_Driving,Involving_Driver_Speed,Involving_Fatigued_Driver,Involving_Defective_Vehicle,Involving_Male_Driver_x,Involving_Female_Driver_x,Involving_Senior_Driver_60plus_x,Involving_Provisional_Driver_x,Involving_Overseas_Licensed_Driver_x,Involving_Young_Driver_16-24_x,Involving_Unlicensed_Driver_x,Primary_Reason_ID,Driver_Category_ID,Location_ID,Primary_Reason,Driver_Category,Location,Involving_Male_Driver_y,Involving_Female_Driver_y,Involving_Young_Driver_16-24_y,Involving_Senior_Driver_60plus_y,Involving_Provisional_Driver_y,Involving_Overseas_Licensed_Driver_y,Involving_Unlicensed_Driver_y,Count_Casualty_Fatality,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_Road_User_Type,Casualty_Count,Impact_Score
1,2001,Fatal,25,25,6,4,2,No,No,No,No,No,No,No,No,No,No,No,0,0,0,Other Reasons,NotCategorised,Brisbane,No,No,No,No,No,No,No,1,Fatality,0 to 16,Female,Vehicle Occupant,1,4
2,2001,Fatal,1,1,0,0,0,No,No,No,Yes,No,Yes,No,No,No,No,No,1,1,0,Defective Vehicle,Female,Brisbane,No,Yes,No,No,No,No,No,4,Fatality,17 to 24,Female,Vehicle Occupant,1,13
3,2001,Fatal,8,8,5,0,0,No,Yes,No,No,No,Yes,Yes,No,No,No,No,2,2,0,Driver Speed,Senior,Brisbane,No,Yes,No,Yes,No,No,No,2,Fatality,25 to 29,Female,Vehicle Occupant,1,7
4,2001,Fatal,2,2,0,0,0,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,3,3,0,Drink Driving,Unlicensed,Brisbane,No,Yes,No,Yes,No,No,Yes,1,Fatality,30 to 39,Female,Vehicle Occupant,1,4
5,2001,Fatal,1,1,3,0,0,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,3,4,0,Drink Driving,Provisional,Brisbane,No,Yes,No,Yes,Yes,No,No,1,Fatality,30 to 39,Female,Vehicle Occupant,1,4
6,2001,Fatal,7,9,5,0,0,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,3,5,0,Drink Driving,Young_driver,Brisbane,No,Yes,Yes,No,No,No,No,1,Fatality,40 to 49,Female,Vehicle Occupant,1,4
7,2001,Hospitalisation,978,0,1116,101,69,No,No,No,No,No,Yes,No,Yes,No,Yes,No,0,4,0,Other Reasons,Provisional,Brisbane,No,Yes,Yes,No,Yes,No,No,2,Fatality,50 to 59,Female,Vehicle Occupant,1,7
8,2001,Hospitalisation,13,0,14,1,0,No,No,No,Yes,Yes,No,No,No,No,No,No,1,6,0,Defective Vehicle,Male,Brisbane,Yes,No,No,No,No,No,No,9,Fatality,60 to 74,Female,Vehicle Occupant,2,29
9,2001,Hospitalisation,22,0,29,2,0,No,No,Yes,No,Yes,No,No,No,No,No,Yes,4,3,0,Fatigued Driver,Unlicensed,Brisbane,Yes,No,No,No,No,No,Yes,5,Fatality,75 and over,Female,Vehicle Occupant,1,16
10,2001,Hospitalisation,38,0,49,9,8,No,Yes,No,No,Yes,No,No,Yes,No,No,No,2,4,0,Driver Speed,Provisional,Brisbane,Yes,No,No,No,Yes,No,No,3,Fatality,17 to 24,Male,Motorcyclist,2,11
11,2001,Hospitalisation,1,0,1,0,0,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,2,2,0,Driver Speed,Senior,Brisbane,Yes,No,No,Yes,No,No,No,2,Fatality,17 to 24,Male,Vehicle Occupant,4,10
12,2001,Hospitalisation,1,0,1,0,0,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,2,5,0,Driver Speed,Young_driver,Brisbane,Yes,No,Yes,No,No,No,No,2,Fatality,17 to 24,Male,Vehicle Occupant,5,11
13,2001,Hospitalisation,66,0,86,13,2,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,3,3,0,Drink Driving,Unlicensed,Brisbane,Yes,No,Yes,No,No,No,Yes,2,Fatality,25 to 29,Male,Bicyclist,1,7
